# 云南电力市场化交易 · 月度平均成交价（省内市场化交易）
# 来源：昆明电力交易中心月度交易公告（经北极星电力新闻网等转载）。
#   该值只在月度公告的文字里披露，无干净结构化接口，故人工录入。
# 更新方法：每月看到新公告后，在末尾加一行 `YYYY-MM,价格`（单位 元/千瓦时）。
# 说明：这是“省内市场化交易平均成交价”，是综合电价的市场价部分（近似口径），
#   随丰枯季波动较大。
month,price_yuan_per_kwh
2023-09,0.14065
2023-11,0.27612
